position,gotchiID,name,withSetsRarityScore,kinship,experience,level,originalOwner,originalWeight,weightAmongEligible,reward
1,23795,Slide,1006,2634,183450,61,0xa532f169cee0e551d4da641031ac78fd85461035,1.000000000000,0.112932351301,20.910836497761
2,16559,Immaterial,996,2659,63155,36,0xfe698c212526f15cc25af671beba14aac309457f,0.521232880421,0.058864054761,10.899415539731
3,14489,Diamond Eyes,988,2676,64133,36,0xd98695e2fce07e908c9f523387b1b1f8eb9d41ec,0.356045925816,0.040209103574,7.445218140443
4,19095,Felon,938,2609,4240,10,0x60ed33735c9c29ec2c26b8ec734e36d5b6fa1eab,0.271683715632,0.030681880816,5.681133756675
5,13681,Artemis,928,2342,12950,17,0xfe698c212526f15cc25af671beba14aac309457f,0.220276514515,0.024876344721,4.606166179321
6,23881,Grace Hopper,904,2638,42826,30,0x03b16ab6e23bdbeeab719d8e4c49d63674876253,0.185582843475,0.020958306875,3.880692496702
7,3052,RAREPEPE,895,3,14755,18,0xd9d54f0f67fde251ab41ffb36579f308b592d905,0.160549087811,0.018131185986,3.357215725085
10,10644,Lucky Aavegotchi,852,2271,2250,7,0x329c54289ff5d6b7b7dae13592c6b1eda1543ed4,0.114815362150,0.012966368813,2.400885265343
12,7001,Snoop Dogg,839,2672,7110,12,0x60ed33735c9c29ec2c26b8ec734e36d5b6fa1eab,0.096731880061,0.010924158661,2.022744528083
13,1448,DKNOX,834,2437,9510,14,0x451d5140852b90ba1f337d9094a359323341fad2,0.089720823034,0.010132383506,1.876137460902
15,13996,Scavenger,823,2855,15365,18,0xa532f169cee0e551d4da641031ac78fd85461035,0.078428555546,0.008857121187,1.640006701781
17,1743,Pinkeye,817,3500,18940,20,0x8f652eff4ba275e023f124a98af86025ab0e5eec,0.069723312819,0.007874017657,1.457972794435
18,22037,Z E N,812,462,46190,31,0xf8c82ff30d2ace28e34d2101d4aed3a2a872d50f,0.066076015321,0.007462119775,1.381704752798
20,14341,Terminate the Wechat,796,2757,4740,10,0x2e21407be0545c706f25490fbba532943fcaed32,0.059845541930,0.006758497765,1.251420342414
21,21424,FAKE OVERLORD,789,3,20675,21,0xd9d54f0f67fde251ab41ffb36579f308b592d905,0.057162848609,0.006455534900,1.195322981004
22,16455,Veraa Molnaar,777,2592,78020,40,0x03b16ab6e23bdbeeab719d8e4c49d63674876253,0.054717050645,0.006179325186,1.144179299672
23,11170,The Chosen One,776,1997,77880,40,0x1d0542b616c691a002e90a713e7d094c0f8e022d,0.052477825871,0.005926444267,1.097355236540
25,22455,ridiculous,775,2346,4600,10,0x4177a5c0e2369f6830a4c3825afc8fb3dd47790d,0.048521742847,0.005479674509,1.014630231258
27,17033,Snowfro,772,2820,26995,24,0x03b16ab6e23bdbeeab719d8e4c49d63674876253,0.045135479616,0.005097255840,0.943820634489
