wallet,rewardRF
0xa532f169cee0e551d4da641031ac78fd85461035,28.3271505182
0x8f652eff4ba275e023f124a98af86025ab0e5eec,24.1885412313
0xfe698c212526f15cc25af671beba14aac309457f,22.9519635085
0x03b16ab6e23bdbeeab719d8e4c49d63674876253,11.6890592044
0xd9d54f0f67fde251ab41ffb36579f308b592d905,10.6417909253
0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,8.8127905143
0x40aed3f394f2f0c168d4033a31ecf2248197ddfb,7.2532822134
0x7d20e3ae9a4198c2cfc0e2d1d0bb81cbc41ab0a0,6.3688461665
0x2b29518e5ac3eda4cfc138facd6f023bffc5d65a,5.4706186052
0xa33aa58fd2795ea89a84c19cacdad50915194980,4.9268010447
0x60c4ae0ee854a20ea7796a9678090767679b30fc,4.7856715650
0x96fe6681b5b8be0c5d6e8eb690adec7ecb0831c9,4.6437818613
0xbb73548a0e6f839fb58e9d59969ba6aedecdf5f1,4.4981591246
0x329c54289ff5d6b7b7dae13592c6b1eda1543ed4,3.8547731992
0xa6ab5ca03954e8b2bb54e9006efb8e68824271fa,3.4555178647
0x2e21407be0545c706f25490fbba532943fcaed32,3.1109844823
0x180f207f8747a966ec94277a69610162d7fa3ff1,3.0820346271
0xae79077d8d922d071797a7f8849430fed488c005,3.0648006745
0x9ff84b91998df96a6587db8dde8d4e47518107d6,3.0548120153
0x47d6f96ba098816389db7c87cbf077de7181b853,3.0452038621
0x35001a8bdb3a224d05f086094c12fd4c9009986d,2.8773022575
0xd281f988242c900d67ff2aafabe683b8004ee778,2.8102760284
0xedd46a46aa5af54ad3c8a651caee2c75c9f2c325,2.7866688880
0x677975399cbd8aa7bd17a4b87c04ed07a85978d4,2.7179628169
0x4177a5c0e2369f6830a4c3825afc8fb3dd47790d,2.6680961282
0x795f50722cf5ad82f78dda8dc8f7b235332977c3,2.6509453620
0xc4cb6cb969e8b4e309ab98e4da51b77887afad96,2.5742223053
0x6fcf9d80e2b597f4b3fa764b5626f573a9fc93d3,2.5370915684
0x156e6c5a2fac34bb2fcf2ac1bbaa0e75bde3ac4f,2.5325549524
0x17a3831b39cc557296d0c322f9c2d42c0b3a8f3f,2.4993234058
0x262944448ec574dd5f82136964bbf189cc1ab579,2.4641282817
0xc727bff1962590c71a6cb56c6d11f37bee740a5d,2.3347186825
0x1d0542b616c691a002e90a713e7d094c0f8e022d,2.2142231059
0x451d5140852b90ba1f337d9094a359323341fad2,2.2140423414
0xdab73a0b1fe28197942915bfef5b5c321514045f,2.2046091848
0x2d5f86cd294ca6c92189340eaeff41fc63dc66ef,2.1619073036
0xa7f1c77998bae58614be010ad2a806639e280056,1.8957869893
0xf8c82ff30d2ace28e34d2101d4aed3a2a872d50f,1.8607990052
0x38ff11d71e32d6a97da15bdcfbcdfccdeda9e637,1.7595890268
0x37e2a074b7bed2bf2e35c3767a8b673db2658bcc,1.7574913505
0xe5f6dbc39334f3e79c149efb8c8c9c8dec474af1,1.6276006621
0x160fbd013c8821403f9f5f6868b6f50cda050be3,1.5896644451
0x2f08d099c60823ce5955e747909d216dcbc9bf21,1.5895954628
0xc0afef712a1341ca78da145b2afad346e8c3574f,1.5549337577
0xb9ff017c875f5c39d0018d1df86fbd92943d5b82,1.5372732494
0xe4ea40377d1eca80c5f6d060a18528f3f73b2b61,1.4860445139
0xfaff4170e628aef5c5ce84c47ebddb5a99517fe2,1.4752709817
0xf5bd90d482928829548a6f3b95f5adb70591e93e,1.4554231953
0x071d217637b6322a7faac6895a9eb00e529d3424,1.4537593611
0xe2de15659663f7024699e1e573c033e2efd5bcb1,1.4437426514
0x6e8d1cc55c33850102b7d8ababd7a16ce976d2e2,1.4386325409
0x579361d2636152df34db1d6dfd343f5037ddc71d,1.3999046535
0x6519e6117480d140cd7d33163ac30fd01812f34a,1.3552197354
0x2848b9f2d4faebaa4838c41071684c70688b455d,1.3460459568
0x77427023e70cafd983dabaf3488d8d83ecb15b96,1.2842038449
0xffea5a2cfaf1aafbb87a1fe4eed5413da45c30a0,1.2206301206
0xa98e714577ad2b41efbcb5f79c3cd663bc806905,1.1943092462
0x07a009e9e98649bff954cf3032ceb3e21e020f49,1.1675211624
0x43ff4c088df0a425d1a519d3030a1a3dfff05cfd,1.1385787085
0x4edb4161d16c89b71aec027930a943c3d4cf0777,1.1153529811
0x38048af4da7d79d2b553836a6d4950d0ac4b60f7,1.1059107963
0x852271883ed42cc3f9d9559b05ab4784fc768e93,1.1037061700
0x59e9f8f07f9d339c48c8521af341a1a2337a9e22,1.0858337078
0xce3214768474f006c50189d2d9583f19e3791f96,0.8858889323
0x019ed608dd806b80193942f2a960e7ac8abb2ee3,0.8436904206
0x6157730c4f8e2092f601460b836530e3252b3120,0.8399241496
0x1a518a3e674a76324058822ca5d8688cffc5033b,0.8036009413
0xde34393312c0c1e97e404d18a04580e9610e063c,0.8021915233
0x1a760e3a431c8b9c075ed1280c8835a1a0f1651b,0.7754259860
0xe1a1d5c32888c5b140917b296e82cf3a448f37a6,0.7548145257
0x5f9ce0c2804af2a678d33e3617ee829c00ef6be0,0.7465699742
0xdf572e905e2730efdbfb8d11829571d3a516acd3,0.7251555004
