position,gotchiID,name,withSetsRarityScore,kinship,experience,level,originalOwner,originalWeight,weightAmongEligible,reward
1,23795,Slide,1006,2634,183450,61,0xa532f169cee0e551d4da641031ac78fd85461035,1.000000000000,0.018951377582,0.701816890302
2,14140,ChamallowGotchi,675,2612,130090,52,0xe2de15659663f7024699e1e573c033e2efd5bcb1,0.637280313660,0.012077339850,0.447254087984
3,17944,foolish,772,1767,125015,51,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,0.489633568200,0.009279230628,0.343633108222
4,10292,Licky's Escape,766,2296,110525,48,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,0.406126198178,0.007696650928,0.285026225476
5,9412,FOMO,658,1367,99995,45,0x635c1bafe7b01a8c52c73cba97a35b4b8d96ae81,0.351293000989,0.006657486304,0.246543361539
6,16455,Veraa Molnaar,777,2592,78020,40,0x03b16ab6e23bdbeeab719d8e4c49d63674876253,0.312033833921,0.005913471005,0.218990614991
7,11170,The Chosen One,776,1997,77880,40,0x1d0542b616c691a002e90a713e7d094c0f8e022d,0.282284007265,0.005349670807,0.198111684161
9,6952,MAANIAAC,606,3069,75825,39,0x071d217637b6322a7faac6895a9eb00e529d3424,0.239741031108,0.004543422802,0.168254304930
10,14489,Diamond Eyes,988,2676,64133,36,0xd98695e2fce07e908c9f523387b1b1f8eb9d41ec,0.223872113857,0.004242684960,0.157117230772
11,23201,For Shogungotchi Set,747,1998,63680,36,0xa6ab5ca03954e8b2bb54e9006efb8e68824271fa,0.210423749357,0.003987819926,0.147678941419
12,16559,Immaterial,996,2659,63155,36,0xfe698c212526f15cc25af671beba14aac309457f,0.198853019553,0.003768538657,0.139558407810
13,24422,K0oi,767,2563,61890,36,0x40aed3f394f2f0c168d4033a31ecf2248197ddfb,0.188771671349,0.003577483221,0.132483147363
14,19143,Garrosh Hellscream,738,2381,54650,34,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,0.179894040691,0.003409239890,0.126252676222
15,4479,Electra,763,1230,53965,33,0xb9ff017c875f5c39d0018d1df86fbd92943d5b82,0.172004845558,0.003259728774,0.120715905826
16,16635,Dr Wagmi,690,2542,53555,33,0xd281f988242c900d67ff2aafabe683b8004ee778,0.164938488847,0.003125811580,0.115756617334
17,13212,Gotchi Guardians,753,2645,52940,33,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,0.158565317361,0.003005031201,0.111283817940
18,5139,Choyna,664,3319,49649,32,0xa60ca8a1400333468a736c7247baad6350c6496d,0.152782239502,0.002895433909,0.107225156221
19,22037,Z E N,812,462,46190,31,0xf8c82ff30d2ace28e34d2101d4aed3a2a872d50f,0.147506160723,0.002795444948,0.103522315019
20,12409,FAKE TRADER,740,3,45600,31,0xd9d54f0f67fde251ab41ffb36579f308b592d905,0.142669290938,0.002703779602,0.100127718108
21,23881,Grace Hopper,904,2638,42826,30,0x03b16ab6e23bdbeeab719d8e4c49d63674876253,0.138215725723,0.002619378406,0.097002130818
22,3378,Medic,723,1938,42285,30,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,0.134098912991,0.002541359133,0.094112882109
24,21403,Son of a WAIFU,719,2489,38905,28,0xc4cb6cb969e8b4e309ab98e4da51b77887afad96,0.126725114673,0.002401615497,0.088937825903
26,1677,Zeep Xanflorp,679,2731,34770,27,0xcd8eddd0a27047d53d65f23d483a8a169d54526b,0.120300469927,0.002279859629,0.084428901706
27,21508,FOREVER BULLISH,763,3,33925,27,0xd9d54f0f67fde251ab41ffb36579f308b592d905,0.117385256506,0.002224612319,0.082382955688
28,1416,HERMES,599,2338,31920,26,0xa14c5e8d3b5680db8246b18cf986c54905c2249f,0.114642930677,0.002172641466,0.080458345103
29,14117,Farfar,719,2781,29575,25,0x03b16ab6e23bdbeeab719d8e4c49d63674876253,0.112057596042,0.002123645814,0.078643913589
30,172,QU33RGOTCHI,745,3,29425,25,0xd9d54f0f67fde251ab41ffb36579f308b592d905,0.109615301928,0.002077360976,0.076929870329
31,9358,HONEYBADGER,747,3,28950,25,0xd9d54f0f67fde251ab41ffb36579f308b592d905,0.107303749817,0.002033553879,0.075307584015
32,4518,STAR,758,2952,28370,24,0xdab73a0b1fe28197942915bfef5b5c321514045f,0.105112051907,0.001992018184,0.073769413402
33,8531,Xp Number One,653,2783,28200,24,0x60ed33735c9c29ec2c26b8ec734e36d5b6fa1eab,0.103030531231,0.001952570500,0.072308567035
34,17033,Snowfro,772,2820,26995,24,0x03b16ab6e23bdbeeab719d8e4c49d63674876253,0.101050555184,0.001915047226,0.070918986402
38,22844,Joan of Aarc,756,1079,24869,23,0xdf572e905e2730efdbfb8d11829571d3a516acd3,0.094002772373,0.001781482033,0.065972733386
39,4350,Whopper,736,3470,24535,23,0x96fe6681b5b8be0c5d6e8eb690adec7ecb0831c9,0.092428947018,0.001751655874,0.064868196170
40,6931,aragon,603,2695,22835,22,0xa9465d03ba38726277b3e478ac98aa063a0c8d0a,0.090920330479,0.001723065513,0.063809423602
41,16028,Base Monkey,595,2562,22210,22,0xe5465ced137ecf8c80bbf7a1e2f2bf457a12a466,0.089472689693,0.001695630726,0.062793444848
42,4271,The Fallen Gotchi,720,2460,21580,21,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,0.088082161041,0.001669278292,0.061817548353
43,2195,UNICORNGOTCHI,722,3,21315,21,0xd9d54f0f67fde251ab41ffb36579f308b592d905,0.086745210227,0.001643941232,0.060879253690
46,6827,Gotchi Battler,659,2527,20935,21,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,0.083024718048,0.001573432780,0.058268149438
47,21868,Arena Spirit,695,2192,20785,21,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,0.081872187144,0.001551590732,0.057459283784
48,21424,FAKE OVERLORD,789,3,20675,21,0xd9d54f0f67fde251ab41ffb36579f308b592d905,0.080759420827,0.001530502277,0.056678325588
49,2941,Burning Man,557,1697,20560,21,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,0.079684260758,0.001510126513,0.055923760091
50,1454,MANHATTAN,742,3,20405,21,0xd9d54f0f67fde251ab41ffb36579f308b592d905,0.078644706715,0.001490425532,0.055194183505
51,17344,Gotchi Gaming Gang,685,2908,20140,21,0xa7f1c77998bae58614be010ad2a806639e280056,0.077638902132,0.001471364149,0.054488292861
52,1743,Pinkeye,817,3500,18940,20,0x8f652eff4ba275e023f124a98af86025ab0e5eec,0.076665121209,0.001452909659,0.053804876961
53,22566,hot curly fry,683,2200,18845,20,0x579361d2636152df34db1d6dfd343f5037ddc71d,0.075721757393,0.001435031616,0.053142808302
54,15328,DeuceClubs,536,3025,17955,19,0x6d06dd922210c87df1f532b4805badf782e598b9,0.074807313085,0.001417701636,0.052501035841
56,22714,ET in 3D,715,2531,17475,19,0xa6ab5ca03954e8b2bb54e9006efb8e68824271fa,0.073059682821,0.001384581635,0.051274519404
57,19991,Queen Caandy,731,1407,17235,19,0xfaff4170e628aef5c5ce84c47ebddb5a99517fe2,0.072223967806,0.001368743684,0.050688000491
58,4285,Crawling,755,2860,16360,19,0x2d5f86cd294ca6c92189340eaeff41fc63dc66ef,0.071412099954,0.001353357670,0.050118217920
59,6138,Blue-Ray,666,2580,16290,19,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,0.070623004941,0.001338403233,0.049564417711
62,11785,The Guaard,697,2614,15955,18,0x2848b9f2d4faebaa4838c41071684c70688b455d,0.068382567341,0.001295943854,0.047992040762
63,18009,X-File,662,2210,15905,18,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,0.067675058967,0.001282535595,0.047495499435
64,16863,Gotchi Hero,741,2168,15790,18,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,0.066985841409,0.001269473973,0.047011794912
65,6147,JAG DE BELLOUET,643,3371,15625,18,0xedd46a46aa5af54ad3c8a651caee2c75c9f2c325,0.066314166930,0.001256744817,0.046540402418
66,7303,z - Imperio,650,1852,15475,18,0xa98e714577ad2b41efbcb5f79c3cd663bc806905,0.065659329260,0.001244334741,0.046080826280
67,12893,Celestial Dragon,657,2643,15440,18,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,0.065020660704,0.001232231092,0.045632597901
68,6109,z - Crucio,701,1585,15415,18,0xa98e714577ad2b41efbcb5f79c3cd663bc806905,0.064397529503,0.001220421897,0.045195273899
69,13996,Scavenger,823,2855,15365,18,0xa532f169cee0e551d4da641031ac78fd85461035,0.063789337400,0.001208895819,0.044768434409
70,22133,GEEK POWAA,739,3,15280,18,0xd9d54f0f67fde251ab41ffb36579f308b592d905,0.063195517414,0.001197642112,0.044351681513
71,12022,FuriousGotchi,632,2443,15265,18,0xe2de15659663f7024699e1e573c033e2efd5bcb1,0.062615531785,0.001186650585,0.043944637802
72,14046,RaptorGotchi,612,2990,15250,18,0xe2de15659663f7024699e1e573c033e2efd5bcb1,0.062048870078,0.001175911565,0.043546945045
73,22128,CANTSLEEP,738,3,15220,18,0xd9d54f0f67fde251ab41ffb36579f308b592d905,0.061495047446,0.001165415864,0.043158262968
74,24941,CrazyGotchi,618,2968,15031,18,0xe2de15659663f7024699e1e573c033e2efd5bcb1,0.060953603012,0.001155154746,0.042778268118
75,20454,KoOi_KL,697,2471,15025,18,0x40aed3f394f2f0c168d4033a31ecf2248197ddfb,0.060424098381,0.001145119903,0.042406652825
76,23098,NonameGotchi,608,2967,15020,18,0xe2de15659663f7024699e1e573c033e2efd5bcb1,0.059906116262,0.001135303429,0.042043124225
77,6164,Rain of Fire,659,1449,14975,18,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,0.059399259192,0.001125697789,0.041687403372
78,12247,Caaptain,650,3048,14960,18,0xedd46a46aa5af54ad3c8a651caee2c75c9f2c325,0.058903148347,0.001116295805,0.041339224402
79,3052,RAREPEPE,895,3,14755,18,0xd9d54f0f67fde251ab41ffb36579f308b592d905,0.058417422445,0.001107090630,0.040998333760
80,6260,z - Avada Kedavra,631,2853,14520,18,0xa98e714577ad2b41efbcb5f79c3cd663bc806905,0.057941736726,0.001098075730,0.040664489487
81,5743,Maage,646,3242,14140,17,0xd52a4333bd8cc9ab3c77df19ded4900b7849a07d,0.057475761997,0.001089244867,0.040337460552
82,1264,Cosmic Cochise,661,1994,13975,17,0xc4cb6cb969e8b4e309ab98e4da51b77887afad96,0.057019183752,0.001080592081,0.040017026228
83,383,Aavomination,544,3140,13890,17,0x478fa4c971a077038b4fc5c172c3af5552224ccc,0.056571701343,0.001072111673,0.039702975516
84,18873,Boo-Dacious,654,2466,13770,17,0xc4cb6cb969e8b4e309ab98e4da51b77887afad96,0.056133027216,0.001063798194,0.039395106604
86,12515,Mistakes Were Made,644,2530,13410,17,0xc4cb6cb969e8b4e309ab98e4da51b77887afad96,0.055281014782,0.001047651384,0.038797149887
87,13681,Artemis,928,2342,12950,17,0xfe698c212526f15cc25af671beba14aac309457f,0.054867160594,0.001039808277,0.038506700028
89,4895,Umeshu,640,3324,12686,16,0x43ff4c088df0a425d1a519d3030a1a3dfff05cfd,0.054062546167,0.001024559725,0.037942008033
90,1470,Wagwan,514,3370,12410,16,0xedd46a46aa5af54ad3c8a651caee2c75c9f2c325,0.053671331412,0.001017145667,0.037667446910
91,22958,KING OF COCKTAILS,644,3,12310,16,0xd9d54f0f67fde251ab41ffb36579f308b592d905,0.053287223846,0.001009866299,0.037397873733
92,1218,AAVE GOTCHI,585,3169,12270,16,0x4eb172821b5bc013269c4f6f6204f092d44197ec,0.052910018359,0.001002717736,0.037133144551
93,7413,Hustla28,641,2839,12260,16,0xa819c50d511187ce0f6aa352427586d6d0c187f7,0.052539517904,0.000995696242,0.036873121074
94,18650,@GOTCHIGANG,751,2781,12160,16,0x47d6f96ba098816389db7c87cbf077de7181b853,0.052175533103,0.000988798228,0.036617670392
95,23065,Legitness,662,2506,11820,16,0x59e9f8f07f9d339c48c8521af341a1a2337a9e22,0.051817881865,0.000982020245,0.036366664712
97,13489,ClarkFever,508,3037,11530,16,0x6d06dd922210c87df1f532b4805badf782e598b9,0.051120886065,0.000968811214,0.035877501287
98,22197,SILENT,747,2582,11420,16,0x156e6c5a2fac34bb2fcf2ac1bbaa0e75bde3ac4f,0.050781210689,0.000962373898,0.035639111372
99,7782,Ko0i,731,1995,11335,16,0x40aed3f394f2f0c168d4033a31ecf2248197ddfb,0.050447206640,0.000956044061,0.035404701689
100,18111,z - Thunderous,624,2726,11300,16,0xa98e714577ad2b41efbcb5f79c3cd663bc806905,0.050118723363,0.000949818850,0.035174166576
101,766,Neuromancer,738,843,11238,15,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,0.049795615751,0.000943695516,0.034947404197
102,5369,whathappened2rektless,514,2881,11225,15,0x2b29518e5ac3eda4cfc138facd6f023bffc5d65a,0.049477743903,0.000937671407,0.034724316365
103,16732,KTeam_02_01,622,2322,11210,15,0x40aed3f394f2f0c168d4033a31ecf2248197ddfb,0.049164972881,0.000931743965,0.034504808379
104,4405,Lil' Al,658,3342,11170,15,0xc4cb6cb969e8b4e309ab98e4da51b77887afad96,0.048857172491,0.000925910723,0.034288788866
105,20449,KoOi_009,653,2557,10870,15,0x40aed3f394f2f0c168d4033a31ecf2248197ddfb,0.048554217073,0.000920169301,0.034076169637
106,18477,KoOi 18477,631,2479,10820,15,0x40aed3f394f2f0c168d4033a31ecf2248197ddfb,0.048255985302,0.000914517398,0.033866865543
107,24381,KoOi_101,723,2327,10700,15,0x40aed3f394f2f0c168d4033a31ecf2248197ddfb,0.047962359998,0.000908952794,0.033660794345
108,692,KTeam_01_02,649,1895,10690,15,0x40aed3f394f2f0c168d4033a31ecf2248197ddfb,0.047673227947,0.000903473343,0.033457876588
109,10909,KTeam_01_03,651,1620,10645,15,0x40aed3f394f2f0c168d4033a31ecf2248197ddfb,0.047388479732,0.000898076972,0.033258035482
110,16975,KTeam_01_05,623,2316,10635,15,0x40aed3f394f2f0c168d4033a31ecf2248197ddfb,0.047108009574,0.000892761677,0.033061196788
