position,gotchiID,formattedTokenID,name,withSetsRarityScore,kinship,experience,level,hauntId,owner,originalOwner,status,stakedAmount
1,23795,"""23795"",",Slide,1006,2634,183450,61,2,0xa532f169cee0e551d4da641031ac78fd85461035,0xa532f169cee0e551d4da641031ac78fd85461035,3,0
2,14140,"""14140"",",ChamallowGotchi,675,2612,130090,52,2,0xe2de15659663f7024699e1e573c033e2efd5bcb1,0xe2de15659663f7024699e1e573c033e2efd5bcb1,3,0
3,17944,"""17944"",",foolish,772,1767,125015,51,2,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,3,0
4,10292,"""10292"",",Licky's Escape,766,2296,110525,48,2,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,3,0
5,9412,"""9412"",",FOMO,658,1367,99995,45,1,0x635c1bafe7b01a8c52c73cba97a35b4b8d96ae81,0x635c1bafe7b01a8c52c73cba97a35b4b8d96ae81,3,0
6,16455,"""16455"",",Veraa Molnaar,777,2592,78020,40,2,0x03b16ab6e23bdbeeab719d8e4c49d63674876253,0x03b16ab6e23bdbeeab719d8e4c49d63674876253,3,0
7,11170,"""11170"",",The Chosen One,776,1997,77880,40,2,0x1d0542b616c691a002e90a713e7d094c0f8e022d,0x1d0542b616c691a002e90a713e7d094c0f8e022d,3,0
8,9106,"""9106"",",Ayahuasca,756,1460,77655,40,1,0xa6e2f56836e0ee4417197dee3daf64aeb83f9547,0xa6e2f56836e0ee4417197dee3daf64aeb83f9547,3,0
9,6952,"""6952"",",MAANIAAC,606,3069,75825,39,1,0x6fd155b9d52f80e8a73a8a2537268602978486e2,0x071d217637b6322a7faac6895a9eb00e529d3424,3,0
10,14489,"""14489"",",Diamond Eyes,988,2676,64133,36,2,0xd98695e2fce07e908c9f523387b1b1f8eb9d41ec,0xd98695e2fce07e908c9f523387b1b1f8eb9d41ec,3,0
11,23201,"""23201"",",For Shogungotchi Set,747,1998,63680,36,2,0xa6ab5ca03954e8b2bb54e9006efb8e68824271fa,0xa6ab5ca03954e8b2bb54e9006efb8e68824271fa,3,0
12,16559,"""16559"",",Immaterial,996,2659,63155,36,2,0xfe698c212526f15cc25af671beba14aac309457f,0xfe698c212526f15cc25af671beba14aac309457f,3,0
13,24422,"""24422"",",K0oi,767,2563,61890,36,2,0x40aed3f394f2f0c168d4033a31ecf2248197ddfb,0x40aed3f394f2f0c168d4033a31ecf2248197ddfb,3,0
14,19143,"""19143"",",Garrosh Hellscream,738,2381,54650,34,2,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,3,0
15,4479,"""4479"",",Electra,763,1230,53965,33,1,0xb9ff017c875f5c39d0018d1df86fbd92943d5b82,0xb9ff017c875f5c39d0018d1df86fbd92943d5b82,3,0
16,16635,"""16635"",",Dr Wagmi,690,2542,53555,33,2,0xd281f988242c900d67ff2aafabe683b8004ee778,0xd281f988242c900d67ff2aafabe683b8004ee778,3,0
17,13212,"""13212"",",Gotchi Guardians,753,2645,52940,33,2,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,3,0
