position,gotchiID,formattedTokenID,name,withSetsRarityScore,kinship,experience,level,hauntId,owner,originalOwner,status,stakedAmount
1,7765,"""7765"",",@egornomic,637,3663,2930,8,1,0xcc251ba254a5a3c1d9c88661b42c1408162e8366,0xcc251ba254a5a3c1d9c88661b42c1408162e8366,3,0
2,8396,"""8396"",",KINSHIP,653,3652,4725,10,1,0xbb73548a0e6f839fb58e9d59969ba6aedecdf5f1,0xbb73548a0e6f839fb58e9d59969ba6aedecdf5f1,3,0
3,7422,"""7422"",",Blind,752,3647,8225,13,1,0x8f652eff4ba275e023f124a98af86025ab0e5eec,0x8f652eff4ba275e023f124a98af86025ab0e5eec,3,0
4,8612,"""8612"",",Unity,508,3524,6025,11,1,0xe5f6dbc39334f3e79c149efb8c8c9c8dec474af1,0xe5f6dbc39334f3e79c149efb8c8c9c8dec474af1,3,278995000000000000000
5,7848,"""7848"",",BB,758,3515,8105,13,1,0x8f652eff4ba275e023f124a98af86025ab0e5eec,0x8f652eff4ba275e023f124a98af86025ab0e5eec,3,0
6,1743,"""1743"",",Pinkeye,817,3500,18940,20,1,0x8f652eff4ba275e023f124a98af86025ab0e5eec,0x8f652eff4ba275e023f124a98af86025ab0e5eec,3,0
7,1998,"""1998"",",Apollo,590,3483,5655,11,1,0xa33aa58fd2795ea89a84c19cacdad50915194980,0xa33aa58fd2795ea89a84c19cacdad50915194980,3,0
8,4350,"""4350"",",Whopper,736,3470,24535,23,1,0x96fe6681b5b8be0c5d6e8eb690adec7ecb0831c9,0x96fe6681b5b8be0c5d6e8eb690adec7ecb0831c9,3,0
9,1840,"""1840"",",Super-Polygon,563,3463,5020,11,1,0x262944448ec574dd5f82136964bbf189cc1ab579,0x262944448ec574dd5f82136964bbf189cc1ab579,3,0
10,4566,"""4566"",",KingShip Rank 11,544,3461,5445,11,1,0x38ff11d71e32d6a97da15bdcfbcdfccdeda9e637,0x38ff11d71e32d6a97da15bdcfbcdfccdeda9e637,3,0
