position,gotchiID,formattedTokenID,name,withSetsRarityScore,kinship,experience,level,hauntId,owner,originalOwner,status,stakedAmount
1,23795,"""23795"",",Slide,1006,2634,183450,61,2,0xa532f169cee0e551d4da641031ac78fd85461035,0xa532f169cee0e551d4da641031ac78fd85461035,3,0
2,16559,"""16559"",",Immaterial,996,2659,63155,36,2,0xfe698c212526f15cc25af671beba14aac309457f,0xfe698c212526f15cc25af671beba14aac309457f,3,0
3,14489,"""14489"",",Diamond Eyes,988,2676,64133,36,2,0xd98695e2fce07e908c9f523387b1b1f8eb9d41ec,0xd98695e2fce07e908c9f523387b1b1f8eb9d41ec,3,0
4,19095,"""19095"",",Felon,938,2609,4240,10,2,0x60ed33735c9c29ec2c26b8ec734e36d5b6fa1eab,0x60ed33735c9c29ec2c26b8ec734e36d5b6fa1eab,3,0
5,13681,"""13681"",",Artemis,928,2342,12950,17,2,0xfe698c212526f15cc25af671beba14aac309457f,0xfe698c212526f15cc25af671beba14aac309457f,3,0
6,23881,"""23881"",",Grace Hopper,904,2638,42826,30,2,0x03b16ab6e23bdbeeab719d8e4c49d63674876253,0x03b16ab6e23bdbeeab719d8e4c49d63674876253,3,0
7,3052,"""3052"",",RAREPEPE,895,3,14755,18,1,0xd9d54f0f67fde251ab41ffb36579f308b592d905,0xd9d54f0f67fde251ab41ffb36579f308b592d905,3,0
8,12611,"""12611"",",Rocinante,892,1415,13480,17,2,0xe2ed8448c47b00d505abbdee375c346b4c40d09b,0xe2ed8448c47b00d505abbdee375c346b4c40d09b,3,0
9,20308,"""20308"",",b00bs6999,862,1577,2605,8,2,0x9dd1c56744651ad8b60b64e461b3c1a456e51e70,0x9dd1c56744651ad8b60b64e461b3c1a456e51e70,3,0
10,10644,"""10644"",",Lucky Aavegotchi,852,2271,2250,7,2,0x329c54289ff5d6b7b7dae13592c6b1eda1543ed4,0x329c54289ff5d6b7b7dae13592c6b1eda1543ed4,3,0
11,11267,"""11267"",",569,843,48,0,1,2,0x8078a5bdd8991767e4bcff4f0e08c550fbac2376,0x8078a5bdd8991767e4bcff4f0e08c550fbac2376,3,0
12,7001,"""7001"",",Snoop Dogg,839,2672,7110,12,1,0x60ed33735c9c29ec2c26b8ec734e36d5b6fa1eab,0x60ed33735c9c29ec2c26b8ec734e36d5b6fa1eab,3,0
13,1448,"""1448"",",DKNOX,834,2437,9510,14,1,0x451d5140852b90ba1f337d9094a359323341fad2,0x451d5140852b90ba1f337d9094a359323341fad2,3,0
14,18411,"""18411"",",Humble Farmer,831,572,4115,10,2,0x118b427af645e5e696e6da748bd66ac8e4f5e9a8,0x118b427af645e5e696e6da748bd66ac8e4f5e9a8,3,0
15,13996,"""13996"",",Scavenger,823,2855,15365,18,2,0xa532f169cee0e551d4da641031ac78fd85461035,0xa532f169cee0e551d4da641031ac78fd85461035,3,0
16,22713,"""22713"",",Bloob,821,2812,2565,8,2,0x6eb13bf70edaade22b0c5a7f0de7138ce96d53db,0x6eb13bf70edaade22b0c5a7f0de7138ce96d53db,3,0
17,1743,"""1743"",",Pinkeye,817,3500,18940,20,1,0x8f652eff4ba275e023f124a98af86025ab0e5eec,0x8f652eff4ba275e023f124a98af86025ab0e5eec,3,0
18,22037,"""22037"",",Z E N,812,462,46190,31,2,0xf8c82ff30d2ace28e34d2101d4aed3a2a872d50f,0xf8c82ff30d2ace28e34d2101d4aed3a2a872d50f,3,0
19,8845,"""8845"",",Winklevoss,803,52,8810,14,1,0xe91cbc483a8fda6bc377ad8b8c717f386a93d349,0xe91cbc483a8fda6bc377ad8b8c717f386a93d349,3,0
20,14341,"""14341"",",Terminate the Wechat,796,2757,4740,10,2,0x2e21407be0545c706f25490fbba532943fcaed32,0x2e21407be0545c706f25490fbba532943fcaed32,3,0
21,21424,"""21424"",",FAKE OVERLORD,789,3,20675,21,2,0xd9d54f0f67fde251ab41ffb36579f308b592d905,0xd9d54f0f67fde251ab41ffb36579f308b592d905,3,0
22,16455,"""16455"",",Veraa Molnaar,777,2592,78020,40,2,0x03b16ab6e23bdbeeab719d8e4c49d63674876253,0x03b16ab6e23bdbeeab719d8e4c49d63674876253,3,0
23,11170,"""11170"",",The Chosen One,776,1997,77880,40,2,0x1d0542b616c691a002e90a713e7d094c0f8e022d,0x1d0542b616c691a002e90a713e7d094c0f8e022d,3,0
24,8623,"""8623"",",STEADY LAD,775,3214,6180,12,1,0xeda29227543b2bc0d8e4a5220ef0a34868033a2d,0xeda29227543b2bc0d8e4a5220ef0a34868033a2d,3,0
25,22455,"""22455"",",ridiculous,775,2346,4600,10,2,0x4177a5c0e2369f6830a4c3825afc8fb3dd47790d,0x4177a5c0e2369f6830a4c3825afc8fb3dd47790d,3,0
26,18249,"""18249"",",Hero,774,2597,3195,8,2,0x06b4553c81ba317a29de282bef7bbe910cc03d99,0x06b4553c81ba317a29de282bef7bbe910cc03d99,3,0
27,17033,"""17033"",",Snowfro,772,2820,26995,24,2,0x03b16ab6e23bdbeeab719d8e4c49d63674876253,0x03b16ab6e23bdbeeab719d8e4c49d63674876253,3,0
28,17944,"""17944"",",foolish,772,1767,125015,51,2,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,3,0
