wallet,combinedVP,votingPercentage,rewardVP,rewardWeightedVP,rewardRF,rewardTotal
0x8f652eff4ba275e023f124a98af86025ab0e5eec,436665.9250000000,0.9112630000,13.4943553300,18.7102416175,23.3875983617,55.5921953092
0xa532f169cee0e551d4da641031ac78fd85461035,398232.4247776675,0.7883960000,12.3066388656,14.7627541015,26.9227269335,53.9921199006
0xfe698c212526f15cc25af671beba14aac309457f,393923.4587912011,0.9385670000,12.1734782162,17.3845510827,21.8232379158,51.3812672147
0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,322851.7015781383,0.8941980000,9.9771365947,13.5744777325,8.4515236451,32.0031379723
0x2b29518e5ac3eda4cfc138facd6f023bffc5d65a,294252.2066654763,0.9692830000,9.0933219334,13.4108615752,5.2626840714,27.7668675800
0xd9d54f0f67fde251ab41ffb36579f308b592d905,330452.2399541232,0.4232080000,10.2120172201,6.5758049733,10.1297400081,26.9175622015
0x03b16ab6e23bdbeeab719d8e4c49d63674876253,217830.5564285695,0.6279860000,6.7316517316,6.4321345167,11.1240067349,24.2877929833
0xcf638db965f331d83bed792b02076a5e72a48b11,595460.7655738500,0.0511950000,18.4016171075,1.4333988588,0.0000000000,19.8350159663
0x60c4ae0ee854a20ea7796a9678090767679b30fc,206410.2246938797,0.8225260000,6.3787274351,7.9830196276,4.5942876680,18.9560347307
0x96fe6681b5b8be0c5d6e8eb690adec7ecb0831c9,196222.6993201247,0.8703070000,6.0639007462,8.0298619324,4.4703989130,18.5641615915
0x2e21407be0545c706f25490fbba532943fcaed32,212406.2775599240,0.8839590000,6.5640243940,8.8284777225,2.9807742595,18.3732763760
0x40aed3f394f2f0c168d4033a31ecf2248197ddfb,240190.5075000000,0.2491470000,7.4226447944,2.8138300124,6.9232070835,17.1596818903
0xd98695e2fce07e908c9f523387b1b1f8eb9d41ec,172542.5084925612,0.2901020000,5.3321081079,2.3536028766,8.9119486711,16.5976596555
0xa6ab5ca03954e8b2bb54e9006efb8e68824271fa,164679.8850000000,0.7952220000,5.0891282252,6.1576542113,3.3081997840,14.5549822204
0x9ff84b91998df96a6587db8dde8d4e47518107d6,139987.9850000000,0.9761090000,4.3260705802,6.4250340709,2.9276500212,13.6787546723
0x329c54289ff5d6b7b7dae13592c6b1eda1543ed4,192539.2332232107,0.3959040000,5.9500700177,3.5842268029,3.6596015859,13.1938984064
0x7d20e3ae9a4198c2cfc0e2d1d0bb81cbc41ab0a0,119581.2250000000,0.5699660000,3.6954372864,3.2047806021,6.2165368999,13.1167547884
0x4177a5c0e2369f6830a4c3825afc8fb3dd47790d,135663.8512158101,0.8498290000,4.1924411980,5.4210329163,2.5386437845,12.1521178988
0xd281f988242c900d67ff2aafabe683b8004ee778,130355.4291683626,0.8805460000,4.0283942018,5.3971877747,2.7099508733,12.1355328498
0x47d6f96ba098816389db7c87cbf077de7181b853,118571.7378795706,0.9795220000,3.6642409481,5.4611202000,2.9376394077,12.0630005559
0xbb73548a0e6f839fb58e9d59969ba6aedecdf5f1,106629.8866565768,0.8634810000,3.2952000533,4.3293040628,4.3780199748,12.0025240909
0xae79077d8d922d071797a7f8849430fed488c005,121904.2859838528,0.7883960000,3.7672272031,4.5190770162,2.9736067452,11.2599109644
0xc4cb6cb969e8b4e309ab98e4da51b77887afad96,109296.1570045333,0.8873720000,3.3775962226,4.5603373257,2.4645771614,10.4025107097
0x156e6c5a2fac34bb2fcf2ac1bbaa0e75bde3ac4f,139396.4729925930,0.4778160000,4.3077909922,3.1318346827,2.4340393980,9.8736650729
0x795f50722cf5ad82f78dda8dc8f7b235332977c3,108073.4050000000,0.7679180000,3.3398093263,3.9022944647,2.5622672180,9.8043710090
0x6fcf9d80e2b597f4b3fa764b5626f573a9fc93d3,98898.9533289564,0.9146760000,3.0562898124,4.2534892040,2.4536912067,9.7634702230
0x180f207f8747a966ec94277a69610162d7fa3ff1,84249.1195987957,0.9761090000,2.6035637109,3.8667851663,2.9925931770,9.4629420542
0x677975399cbd8aa7bd17a4b87c04ed07a85978d4,91138.1022162622,0.9283280000,2.8164550174,3.9782107469,2.6395063507,9.4341721150
0x2d5f86cd294ca6c92189340eaeff41fc63dc66ef,100241.1213692168,0.8873720000,3.0977670411,4.1825196775,2.0712401676,9.3515268862
0xdab73a0b1fe28197942915bfef5b5c321514045f,104121.1940810468,0.7508530000,3.2176735346,3.6760415872,2.1156674242,9.0093825459
0xa7f1c77998bae58614be010ad2a806639e280056,91902.0004653480,0.9419800000,2.8400618844,4.0705491455,1.8345507967,8.7451618266
0xe4ea40377d1eca80c5f6d060a18528f3f73b2b61,100475.3975000000,0.8498290000,3.1050069130,4.0149268375,1.4311750459,8.5511087964
0xffea5a2cfaf1aafbb87a1fe4eed5413da45c30a0,86288.8040755532,0.9624570000,2.6665963991,3.9050099157,1.1856924524,7.7572987672
0x299f70376d88868d26772f152751d25b910d6b33,118482.0225000000,0.6109220000,3.6614684597,3.4034907880,0.3532659396,7.4182251873
0x2848b9f2d4faebaa4838c41071684c70688b455d,82148.6064988569,0.8839590000,2.5386512262,3.4144336539,1.2925631089,7.2456479891
0xa33aa58fd2795ea89a84c19cacdad50915194980,31215.6310423698,0.8976110000,0.9646615250,1.3174879161,4.8389346930,7.1210841341
0xedd46a46aa5af54ad3c8a651caee2c75c9f2c325,87987.8377850230,0.4095560000,2.7191019033,1.6944247787,2.6971356730,7.1106623550
0xc0afef712a1341ca78da145b2afad346e8c3574f,123025.8272095608,0.2798630000,3.8018863669,1.6189302376,1.4771924464,6.8980090509
0x1d0542b616c691a002e90a713e7d094c0f8e022d,69695.5792000000,0.6996590000,2.1538133773,2.2928625041,2.1129120251,6.5595879065
0xc727bff1962590c71a6cb56c6d11f37bee740a5d,53864.5563294361,0.9249150000,1.6645848031,2.3425629239,2.2642692822,6.2714170092
0x579361d2636152df34db1d6dfd343f5037ddc71d,71385.7554004204,0.7918090000,2.2060451565,2.6577758382,1.3382024875,6.2020234823
