wallet,num_proposals,weight
0xe5f6dbc39334f3e79c149efb8c8c9c8dec474af1,292,1.000000
0x35001a8bdb3a224d05f086094c12fd4c9009986d,291,0.996575
0x4ada1b9d9fe28abd9585f58cfeed2169a39e1c6b,290,0.993151
0xde34393312c0c1e97e404d18a04580e9610e063c,290,0.993151
0xe1a1d5c32888c5b140917b296e82cf3a448f37a6,290,0.993151
0x4edb4161d16c89b71aec027930a943c3d4cf0777,289,0.989726
0x43ff4c088df0a425d1a519d3030a1a3dfff05cfd,287,0.982877
0x47d6f96ba098816389db7c87cbf077de7181b853,286,0.979452
0x9ff84b91998df96a6587db8dde8d4e47518107d6,285,0.976027
0x2b29518e5ac3eda4cfc138facd6f023bffc5d65a,283,0.969178
0xded7cfb53cf1658e07432a3c4c8c0064d5bd626a,282,0.965753
0xffea5a2cfaf1aafbb87a1fe4eed5413da45c30a0,281,0.962329
0xe23da0be88c9b56c815c0525e5c1c687a99a8def,279,0.955479
0xe1bcd0f5c6c855ee3452b38e16fed0b7cb0cc507,277,0.948630
0x3b3120e283c08daabb5e3f240e008387ef8a67db,275,0.941781
0x77427023e70cafd983dabaf3488d8d83ecb15b96,275,0.941781
0x6d06dd922210c87df1f532b4805badf782e598b9,274,0.938356
0x82131e86d080312e13605aada6538a94df5b41a5,274,0.938356
0xa7f1c77998bae58614be010ad2a806639e280056,274,0.938356
0x262944448ec574dd5f82136964bbf189cc1ab579,273,0.934932
0x180f207f8747a966ec94277a69610162d7fa3ff1,271,0.928082
0x677975399cbd8aa7bd17a4b87c04ed07a85978d4,271,0.928082
0xe0c74c6ac956dba68797d76f77f1f5a52258aa7e,271,0.928082
0x019ed608dd806b80193942f2a960e7ac8abb2ee3,270,0.924658
0xc727bff1962590c71a6cb56c6d11f37bee740a5d,270,0.924658
0xba21325681ffd7d623993a2a564f6390654e2948,269,0.921233
0x6fcf9d80e2b597f4b3fa764b5626f573a9fc93d3,268,0.917808
0x8b200f4c81c54d9014b4cda3f16501069fa20ab9,267,0.914384
0x3e01cbe85caddb812a0483335f69815dafcb8eb7,266,0.910959
0x6519e6117480d140cd7d33163ac30fd01812f34a,266,0.910959
0x2f08d099c60823ce5955e747909d216dcbc9bf21,264,0.904110
0x05ebff07711a5b6042c27fdaa683a5c6d55b6684,263,0.900685
0xe2de15659663f7024699e1e573c033e2efd5bcb1,263,0.900685
0xe7824cfa1c9fafa4767df34305123f3151a00f1b,261,0.893836
0x2d5f86cd294ca6c92189340eaeff41fc63dc66ef,260,0.890411
0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,260,0.890411
0xc0719b1040f7f8e904a6509f99335656c1d881ed,260,0.890411
0x2848b9f2d4faebaa4838c41071684c70688b455d,259,0.886986
0x8628d73d3f950abde99739ef34b6cfa10394f579,259,0.886986
0xc4cb6cb969e8b4e309ab98e4da51b77887afad96,259,0.886986
0xd281f988242c900d67ff2aafabe683b8004ee778,257,0.880137
0x38ff11d71e32d6a97da15bdcfbcdfccdeda9e637,256,0.876712
0x9098b23ed9cc4ca858b642af81442e9e591ff073,256,0.876712
0x0d15764e7f13e780ca0ae83a15a8d819db05ef2b,255,0.873288
0x1a518a3e674a76324058822ca5d8688cffc5033b,255,0.873288
0x7fbd1e4c9449c2443e0ad17537d77645bd23cc21,255,0.873288
0x124e64c9ed898d4a8b130f6acb76b33e21cd711c,254,0.869863
0x7d9fb540504d8f277099472b89113485f712c546,254,0.869863
0x96fe6681b5b8be0c5d6e8eb690adec7ecb0831c9,253,0.866438
0x10b989914a478ed7de2d2c4cc4e835bbd3de229b,252,0.863014
0x7bd0fafe34a8b64afaf16166d644cdbb2b950aab,252,0.863014
0x9b81fcdb243ff7137afcb77209d1d4be9dc3a6b2,252,0.863014
0xbb73548a0e6f839fb58e9d59969ba6aedecdf5f1,252,0.863014
0xdc5aac3b5bd12aff946a6c263172bfc0392883d1,252,0.863014
0x409ceb81bb143a400b02445ca273b37720b7665e,251,0.859589
0x23abad8c65a9a93abcc343892aaf3d6e88b5ccc9,250,0.856164
